,YEAR,MONTH,Ward_ID,IncidentsTotal_TP,Dark,Dawn,Daylight,Dusk,Inv_PED,Inv_CYC,Inv_AM,Inv_MC,Inv_TC,Speeding,Ag_Driv,Redlight,Alcohol,Disability,SeverityScore,IncidentsTotal_Geotab,AvgAcceleration,PercentOfVehicles,AvgMonthlyVolume,PercentCar,PercentMPV,PercentLDT,PercentMDT,PercentHDT,PercentOther,Daily_dif,Max_Temp,Min_Temp,Ave_Temp,Rain_vol,Snow_vol
0,2007,1,1,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,9.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058824,0.7032258064516131
1,2007,1,2,14.0,6.0,0.0,8.0,0.0,2.0,0.0,14.0,0.0,0.0,4.0,7.0,3.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058824,0.7032258064516129
2,2007,1,4,6.0,3.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058822,0.7032258064516129
3,2007,1,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058823,0.703225806451613
4,2007,1,7,4.0,2.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.037000000000000005,56.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058823,0.703225806451613
5,2007,1,11,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058824,0.7032258064516131
6,2007,1,13,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058823,0.703225806451613
7,2007,1,14,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.013900000000000001,9.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058824,0.7032258064516131
8,2007,1,17,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058823,0.703225806451613
9,2007,1,18,3.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058824,0.7032258064516131
10,2007,1,21,5.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058823,0.703225806451613
11,2007,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2007,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2007,1,23,3.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,,,,,,,,,,17.5,12.0,-20.9,-2.819354838709678,0.8294117647058824,0.7032258064516131
14,2007,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2007,1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
